,local_price,local_price,local_price,city_price,city_price,city_price,price_difference,price_difference,price_difference
,mean,std,count,mean,std,count,mean,std,count
district,,,,,,,,,
Blantyre,461.9992857142857,225.8455537805291,28,657.1950083444444,243.41801202764168,18,178.3744527888889,68.13647302094105,18
Dedza,602.7328571428571,177.32190720783535,14,829.1598263111111,138.38750203921032,9,209.2709374222222,69.28970107766936,9
Karonga,495.9203703703704,248.43956634719163,27,651.8570525090909,259.57732514268946,22,166.13659796363638,89.66397156188398,22
Lilongwe,537.737,209.97195404449414,20,726.6757386235295,228.74589168193518,17,186.27926803529414,75.78899682658862,17
Mangochi,464.9175,200.5643981114665,28,598.3262815705883,193.8611709626516,17,178.6909874529412,67.98869491866962,17
Mzimba,510.3184848484848,193.46230673120172,33,708.876172412,220.3079288759713,25,182.36417241200002,66.64901239159614,25
Nkhatabay,430.2615384615384,221.93060221055245,26,624.7022998666666,209.70158888559175,12,165.0181332,76.41006514453001,12
Ntcheu,597.5279166666667,206.33603095287077,24,771.3227625000001,230.27255265031633,17,206.42452720588236,66.50384095479944,17
